start_date,mms,denial_complaints,per_mm,fragile
2008-07-01,2029469,82,0.4040465757299076753574457161,1
2009-07-01,2291569,151,0.6589371736133627222221979788,1
2010-07-01,2371678,184,0.7758220129376753505324078564,1
2011-07-01,3037996,163,0.5365379019590545873003124428,1
2012-07-01,1878790,102,0.5429026128518887156095146344,1
2013-07-01,7831840,768,0.9806124742078489856789719913,1
2014-07-01,5317937,521,0.9797032195003438363410472896,1
2015-07-01,6846400,667,0.9742346342603412012152372050,1
2016-07-01,6829214,818,1.197795236757846510594044937,1
2017-07-01,6732717,701,1.041184413365362007641194484,1
2008-07-01,18950554,228,0.1203131053582919000679346894,0
2009-07-01,20458421,329,0.1608139748419489461087930491,0
2010-07-01,23161962,411,0.1774461075447753519326212520,0
2011-07-01,25358603,330,0.1301333515888079481349978151,0
2012-07-01,14007196,176,0.1256497017675771796153919742,0
2013-07-01,56841323,1481,0.2605498819934222854031740253,0
2014-07-01,37559138,880,0.2342971768947413010383784633,0
2015-07-01,39792019,806,0.2025531803249289763356817858,0
2016-07-01,40221373,741,0.1842304090414815028815649829,0
2017-07-01,40931544,716,0.1749262133869174346318330919,0
